game_date,game_opponent,game_time,game_date_time
6/13/18,Texas,7:10 PM,2018-06-13 7:10 PM
6/15/18,San Francisco,7:10 PM,2018-06-15 7:10 PM
6/16/18,San Francisco,5:15 PM,2018-06-16 5:15 PM
6/17/18,San Francisco,1:10 PM,2018-06-17 1:10 PM
6/18/18,at Chicago Cubs,5:05 PM,2018-06-18 5:05 PM
6/19/18,at Chicago Cubs,5:05 PM,2018-06-19 5:05 PM
6/20/18,at Chicago Cubs,11:20 AM,2018-06-20 11:20 AM
6/22/18,at NY Mets,4:10 PM,2018-06-22 4:10 PM
6/23/18,at NY Mets,4:15 PM,2018-06-23 4:15 PM
6/24/18,at NY Mets,10:10 AM,2018-06-24 10:10 AM
6/25/18,Chicago Cubs,7:10 PM,2018-06-25 7:10 PM
6/26/18,Chicago Cubs,7:10 PM,2018-06-26 7:10 PM
6/27/18,Chicago Cubs,7:10 PM,2018-06-27 7:10 PM
6/28/18,Chicago Cubs,12:10 PM,2018-06-28 12:10 PM
6/29/18,Colorado,7:10 PM,2018-06-29 7:10 PM
6/30/18,Colorado,4:15 PM,2018-06-30 4:15 PM
7/1/18,Colorado,1:10 PM,2018-07-01 1:10 PM
7/2/18,Pittsburgh,7:10 PM,2018-07-02 7:10 PM
7/3/18,Pittsburgh,7:10 PM,2018-07-03 7:10 PM
7/4/18,Pittsburgh,5:10 PM,2018-07-04 5:10 PM
7/6/18,at LA Angels,7:07 PM,2018-07-06 7:07 PM
7/7/18,at LA Angels,4:15 PM,2018-07-07 4:15 PM
7/8/18,at LA Angels,9:00 PM,2018-07-08 9:00 PM
7/9/18,at San Diego,7:10 PM,2018-07-09 7:10 PM
7/10/18,at San Diego,7:10 PM,2018-07-10 7:10 PM
7/11/18,at San Diego,7:10 PM,2018-07-11 7:10 PM
7/12/18,at San Diego,7:10 PM,2018-07-12 7:10 PM
7/13/18,LA Angels,7:10 PM,2018-07-13 7:10 PM
7/14/18,LA Angels,4:15 PM,2018-07-14 4:15 PM
7/15/18,LA Angels,1:10 PM,2018-07-15 1:10 PM
7/20/18,at Milwaukee,5:10 PM,2018-07-20 5:10 PM
7/21/18,at Milwaukee,4:10 PM,2018-07-21 4:10 PM
7/22/18,at Milwaukee,11:10 AM,2018-07-22 11:10 AM
7/23/18,at Philadelphia,4:05 PM,2018-07-23 4:05 PM
7/24/18,at Philadelphia,4:05 PM,2018-07-24 4:05 PM
7/25/18,at Philadelphia,9:35 PM,2018-07-25 9:35 PM
7/26/18,at Atlanta,4:35 PM,2018-07-26 4:35 PM
7/27/18,at Atlanta,4:35 PM,2018-07-27 4:35 PM
7/28/18,at Atlanta,4:10 PM,2018-07-28 4:10 PM
7/29/18,at Atlanta,10:35 AM,2018-07-29 10:35 AM
7/30/18,Milwaukee,7:10 PM,2018-07-30 7:10 PM
7/31/18,Milwaukee,7:10 PM,2018-07-31 7:10 PM
8/1/18,Milwaukee,7:10 PM,2018-08-01 7:10 PM
8/2/18,Milwaukee,6:00 PM,2018-08-02 6:00 PM
8/3/18,Houston,7:10 PM,2018-08-03 7:10 PM
8/4/18,Houston,6:10 PM,2018-08-04 6:10 PM
8/5/18,Houston,1:10 PM,2018-08-05 1:10 PM
8/7/18,at Oakland,7:05 PM,2018-08-07 7:05 PM
8/8/18,at Oakland,7:05 PM,2018-08-08 7:05 PM
8/9/18,at Colorado,5:40 PM,2018-08-09 5:40 PM
8/10/18,at Colorado,5:40 PM,2018-08-10 5:40 PM
8/11/18,at Colorado,5:10 PM,2018-08-11 5:10 PM
8/12/18,at Colorado,12:10 PM,2018-08-12 12:10 PM
8/13/18,San Francisco,7:10 PM,2018-08-13 7:10 PM
8/14/18,San Francisco,7:10 PM,2018-08-14 7:10 PM
8/15/18,San Francisco,7:10 PM,2018-08-15 7:10 PM
8/17/18,at Seattle,7:10 PM,2018-08-17 7:10 PM
8/18/18,at Seattle,1:10 PM,2018-08-18 1:10 PM
8/19/18,at Seattle,1:10 PM,2018-08-19 1:10 PM
8/20/18,St. Louis,7:10 PM,2018-08-20 7:10 PM
8/21/18,St. Louis,7:10 PM,2018-08-21 7:10 PM
8/22/18,St. Louis,7:10 PM,2018-08-22 7:10 PM
8/24/18,San Diego,7:10 PM,2018-08-24 7:10 PM
8/25/18,San Diego,6:10 PM,2018-08-25 6:10 PM
8/26/18,San Diego,1:10 PM,2018-08-26 1:10 PM
8/28/18,at Texas,5:05 PM,2018-08-28 5:05 PM
8/29/18,at Texas,5:05 PM,2018-08-29 5:05 PM
8/30/18,Arizona,7:10 PM,2018-08-30 7:10 PM
8/31/18,Arizona,7:10 PM,2018-08-31 7:10 PM
9/1/18,Arizona,6:10 PM,2018-09-01 6:10 PM
9/2/18,Arizona,1:10 PM,2018-09-02 1:10 PM
9/3/18,NY Mets,5:10 PM,2018-09-03 5:10 PM
9/4/18,NY Mets,7:10 PM,2018-09-04 7:10 PM
9/5/18,NY Mets,4:15 PM,2018-09-05 4:15 PM
9/7/18,at Colorado,5:40 PM,2018-09-07 5:40 PM
9/8/18,at Colorado,5:10 PM,2018-09-08 5:10 PM
9/9/18,at Colorado,12:10 PM,2018-09-09 12:10 PM
9/10/18,at Cincinnati,3:40 PM,2018-09-10 3:40 PM
9/11/18,at Cincinnati,3:40 PM,2018-09-11 3:40 PM
9/12/18,at Cincinnati,9:35 AM,2018-09-12 9:35 AM
9/13/18,at St. Louis,4:15 PM,2018-09-13 4:15 PM
9/14/18,at St. Louis,5:15 PM,2018-09-14 5:15 PM
9/15/18,at St. Louis,10:05 AM,2018-09-15 10:05 AM
9/16/18,at St. Louis,11:15 AM,2018-09-16 11:15 AM
9/17/18,Colorado,7:10 PM,2018-09-17 7:10 PM
9/18/18,Colorado,7:10 PM,2018-09-18 7:10 PM
9/19/18,Colorado,7:10 PM,2018-09-19 7:10 PM
9/21/18,San Diego,7:10 PM,2018-09-21 7:10 PM
9/22/18,San Diego,6:10 PM,2018-09-22 6:10 PM
9/23/18,San Diego,1:10 PM,2018-09-23 1:10 PM
9/24/18,at Arizona,6:40 PM,2018-09-24 6:40 PM
9/25/18,at Arizona,6:40 PM,2018-09-25 6:40 PM
9/26/18,at Arizona,6:40 PM,2018-09-26 6:40 PM
9/28/18,at San Francisco,7:15 PM,2018-09-28 7:15 PM
9/29/18,at San Francisco,1:10 PM,2018-09-29 1:10 PM
9/30/18,at San Francisco,12:05 PM,2018-09-30 12:05 PM
10/3/18,Atlanta,5:37 PM,2018-10-03 5:37 PM
10/4/18,Atlanta,6:37 PM,2018-10-04 6:37 PM
10/6/2018,at Atlanta,5:07 PM,2018-10-06 5:07 PM
10/12/2018,at Milwaukee,5:09 PM,2018-10-12 5:09 PM
10/13/2018,at Milwaukee,1:09 PM, 2018-10-13 1:09 PM
10/15/2018,Milwaukee,4:39 PM, 2018-10-15 4:39 PM
10/16/2018,Milwaukee,6:09 PM, 2018-10-16 6:09 PM
10/17/2018,Milwaukee,2:05 PM, 2018-10-17 2:05 PM
